trial,true_choice,predicted_choice,hit,nonhit,rating,origin_true_choice_probability,origin_posterior,origin_pred_probs,origin_entropy,origin_top1_hypothesis,origin_top1_probability,origin_top3_mass
53,4,4,1,0,2,0.9075778418385494,"{""14"": 0.021172537421405388, ""32"": 0.022458749563915914, ""71"": 0.08689800924428367, ""73"": 0.017915950246654634, ""74"": 0.020766427002037572, ""75"": 0.03473002084287656, ""94"": 0.05792581171104493, ""99"": 0.01023829591270847, ""106"": 0.7278941980550727}","[0.008553152129521199, 0.04914187499315276, 0.03472713103877662, 0.9075778418385494]",1.0914787841514988,106,0.7278941980550727,0.8727180190104014
54,4,4,1,0,2,0.5662122347088273,"{""14"": 0.02480596623395107, ""17"": 0.013735381486375481, ""71"": 0.09454789729734274, ""73"": 0.006672513676525594, ""74"": 0.019050858129693506, ""94"": 0.061320100407445476, ""99"": 0.00730943423784876, ""106"": 0.7477480555601309, ""111"": 0.02480979297068635}","[0.02177789304101184, 0.22471913829288234, 0.1872907339572786, 0.5662122347088273]",0.9986887090238346,106,0.7477480555601309,0.9036160532649191
55,3,3,1,0,3,0.748261212566591,"{""14"": 0.0033554098712062935, ""58"": 0.008082249936523006, ""71"": 2.988299774862949e-08, ""73"": 3.131527698989408e-09, ""74"": 7.644778685713756e-09, ""94"": 0.11036262611739096, ""95"": 0.03110793187566357, ""99"": 0.0195768195404346, ""106"": 0.8275149219994774}","[0.20488675785942384, 0.01248132070376069, 0.748261212566591, 0.034370708870224476]",0.6429246217516733,106,0.8275149219994774,0.9689854799925319
56,4,2,0,1,3,0.25853794093972465,"{""14"": 0.006085556963362779, ""16"": 0.0077473350624231415, ""58"": 0.01675775303656359, ""64"": 0.01791438539874356, ""71"": 3.8251756002102177e-07, ""94"": 0.07939234532516982, ""95"": 0.032226297991007305, ""99"": 0.016302594704798192, ""106"": 0.8235733490003715}","[0.03691368727537826, 0.67973045546767, 0.0248179163172271, 0.25853794093972465]",0.7480750106995724,106,0.8235733490003715,0.9351919923165486
57,4,4,1,0,2,0.4649893555039181,"{""58"": 0.04097713204124746, ""64"": 0.019918722741684762, ""80"": 0.040550147498949494, ""94"": 0.20328863767947752, ""95"": 0.0938456125294734, ""99"": 0.05425125714199243, ""101"": 0.03369193224986878, ""106"": 0.5134765581173061}","[0.1402962522967852, 0.2998878698535898, 0.094826522345707, 0.4649893555039181]",1.4993861561928088,106,0.5134765581173061,0.810610808326257
58,4,4,1,0,2,0.5308704521006106,"{""68"": 0.08074897980469645, ""90"": 0.06769499008403863, ""94"": 0.21491685393360563, ""95"": 0.10816022150090093, ""99"": 0.0644963214102876, ""104"": 0.0819258247274967, ""106"": 0.38205680853897406}","[0.09782394636367248, 0.12021993429915216, 0.25108566723656484, 0.5308704521006106]",1.7058591229376967,106,0.38205680853897406,0.7051338839734806
59,1,1,1,0,2,0.6347429344839749,"{""51"": 0.04734434740044942, ""71"": 0.10221093610984737, ""75"": 0.06596434444678158, ""94"": 0.2364260826609174, ""95"": 0.1372744140273545, ""103"": 0.07319923092883429, ""106"": 0.3375806444258154}","[0.6347429344839749, 0.17556741578277818, 0.15543287533132555, 0.03425677440192139]",1.7283934813162491,106,0.3375806444258154,0.7112811411140874
60,4,1,0,1,2,0.27683403379772914,"{""49"": 0.05757078854008391, ""71"": 0.12253651352204482, ""75"": 0.06991140033510872, ""84"": 0.04623040209702759, ""94"": 0.25353603835743704, ""96"": 0.090824385554661, ""106"": 0.3593904715936371}","[0.3980004592789865, 0.19761052479002222, 0.12755498213326205, 0.27683403379772914]",1.683282448529075,106,0.3593904715936371,0.735463023473119
61,2,2,1,0,2,0.5194317416884182,"{""1"": 0.08196560338424312, ""17"": 0.010761030944380816, ""79"": 0.1418565924217778, ""80"": 0.09933055404916902, ""84"": 0.02476481428559206, ""94"": 0.15989754896779207, ""106"": 0.4814238559470451}","[0.20883038132390017, 0.5194317416884182, 0.24003346925777674, 0.031704407729904946]",1.4968623865348825,106,0.4814238559470451,0.7831779973366151
62,2,2,1,0,3,0.6677561525139029,"{""1"": 0.043613820810709324, ""12"": 0.09865427509312553, ""67"": 0.04303204540913686, ""68"": 0.05793019770195597, ""84"": 0.008489186388639025, ""94"": 0.23405786737891587, ""106"": 0.5142226072175174}","[0.037785599729020965, 0.6677561525139029, 0.10728612791880955, 0.18717211983826668]",1.38788670274497,106,0.5142226072175174,0.8469347496895588
