subID,condition,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
1,3,5,29,4.000,3.870,-0.130,1.000,0.957,-0.043,2,2,1,0.439,0.043,0.013
1,3,5,30,4.000,3.872,-0.128,1.000,0.957,-0.043,2,2,1,0.123,0.043,0.013
1,3,1,1,1.000,1.070,0.070,0.000,0.023,0.023,2,2,1,0.132,0.022,0.017
1,3,1,2,1.000,1.066,0.066,0.000,0.022,0.022,2,2,1,0.210,0.021,0.017
1,3,1,3,1.000,1.062,0.062,0.000,0.021,0.021,1,1,1,0.647,0.020,0.017
1,3,1,4,1.000,1.058,0.058,0.000,0.019,0.019,1,1,1,0.273,0.018,0.017
1,3,1,5,1.000,1.054,0.054,0.000,0.018,0.018,2,1,0,0.105,0.021,0.016
1,3,1,6,1.000,1.063,0.063,0.000,0.021,0.021,1,1,1,1.038,0.020,0.016
1,3,1,7,1.000,1.059,0.059,0.000,0.020,0.020,1,2,0,0.644,0.023,0.016
1,3,1,8,1.000,1.068,0.068,0.000,0.023,0.023,2,2,1,0.309,0.022,0.016
1,3,1,9,1.000,1.064,0.064,0.000,0.021,0.021,1,2,0,0.263,0.024,0.016
1,3,1,10,1.000,1.072,0.072,0.000,0.024,0.024,2,2,1,1.872,0.023,0.016
1,3,1,11,1.000,1.069,0.069,0.000,0.023,0.023,1,2,0,0.051,0.026,0.015
1,3,1,12,1.000,1.076,0.076,0.000,0.025,0.025,1,1,1,0.313,0.025,0.015
1,3,1,13,1.000,1.073,0.073,0.000,0.024,0.024,1,1,1,3.850,0.024,0.015
1,3,1,14,1.000,1.070,0.070,0.000,0.023,0.023,1,1,1,7.240,0.023,0.015
1,3,1,15,1.000,1.067,0.067,0.000,0.022,0.022,1,2,0,1.778,0.025,0.015
1,3,1,16,1.000,1.074,0.074,0.000,0.025,0.025,1,1,1,0.268,0.024,0.015
1,3,1,17,1.000,1.071,0.071,0.000,0.024,0.024,2,2,1,0.576,0.023,0.015
1,3,1,18,1.000,1.068,0.068,0.000,0.023,0.023,2,1,0,0.557,0.026,0.015
1,3,1,19,1.000,1.075,0.075,0.000,0.025,0.025,2,1,0,0.289,0.028,0.015
1,3,1,20,1.000,1.082,0.082,0.000,0.027,0.027,2,2,1,0.156,0.027,0.015
1,3,1,21,1.000,1.079,0.079,0.000,0.026,0.026,2,2,1,0.251,0.026,0.015
1,3,1,22,1.000,1.077,0.077,0.000,0.026,0.026,1,1,1,0.335,0.025,0.015
1,3,1,23,1.000,1.074,0.074,0.000,0.025,0.025,1,1,1,0.132,0.024,0.015
1,3,1,24,1.000,1.071,0.071,0.000,0.024,0.024,1,1,1,0.212,0.023,0.014
1,3,1,25,1.000,1.068,0.068,0.000,0.023,0.023,2,1,0,0.249,0.025,0.014
1,3,1,26,1.000,1.074,0.074,0.000,0.025,0.025,1,1,1,0.123,0.024,0.014
1,3,1,27,1.000,1.072,0.072,0.000,0.024,0.024,2,1,0,0.211,0.027,0.014
1,3,1,28,1.000,1.078,0.078,0.000,0.026,0.026,2,1,0,0.164,0.029,0.014
