subID,feature,level,iTrial,standard_real,compare_real,diff_real,standard_norm,compare_norm,diff_norm,truth,choice,feedback,cho_RT,threshold_mean,threshold_sd
401,4,2,9,1.750,1.685,-0.065,0.250,0.228,-0.022,1,1,1,0.285,0.021,0.016
401,4,2,10,1.750,1.811,0.061,0.250,0.270,0.020,1,2,0,0.328,0.023,0.016
401,4,2,11,1.750,1.681,-0.069,0.250,0.227,-0.023,2,1,0,2.269,0.026,0.015
401,4,2,12,1.750,1.827,0.077,0.250,0.276,0.026,1,1,1,0.213,0.025,0.015
401,4,2,13,1.750,1.676,-0.074,0.250,0.225,-0.025,2,2,1,0.969,0.024,0.015
401,4,2,14,1.750,1.680,-0.070,0.250,0.227,-0.023,2,1,0,0.568,0.026,0.015
401,4,2,15,1.750,1.828,0.078,0.250,0.276,0.026,2,1,0,0.646,0.029,0.015
401,4,2,16,1.750,1.665,-0.085,0.250,0.222,-0.028,1,1,1,0.292,0.028,0.015
401,4,2,17,1.750,1.832,0.082,0.250,0.277,0.027,1,1,1,0.296,0.027,0.015
401,4,2,18,1.750,1.671,-0.079,0.250,0.224,-0.026,2,2,1,0.257,0.026,0.015
401,4,2,19,1.750,1.826,0.076,0.250,0.275,0.025,1,1,1,0.439,0.025,0.015
401,4,2,20,1.750,1.677,-0.073,0.250,0.226,-0.024,2,2,1,0.662,0.024,0.015
401,4,2,21,1.750,1.680,-0.070,0.250,0.227,-0.023,1,1,1,0.228,0.023,0.015
