iSub,version,condition,iSession,iBlock,iTrial,neck_length,head_length,leg_length,tail_length,neck_angle,head_angle,leg_angle,tail_angle,feature1,feature2,feature3,feature4,category,choice,feedback,ambigous,choRT,neck_oral,head_oral,leg_oral,tail_oral,text,human_feature_1,human_feature_2,human_feature_3,human_feature_4,neck_use,head_use,leg_use,tail_use,feature1_use,feature2_use,feature3_use,feature4_use,choice_1_feature_1,choice_1_feature_2,choice_1_feature_3,choice_1_feature_4,choice_2_feature_1,choice_2_feature_2,choice_2_feature_3,choice_2_feature_4
7,1,1,1,1,41,0.466123974806792,0.225134190248024,0.327723596839207,0.273227417788199,0.5,0.5,0.5,0.5,0.466123974806792,0.327723596839207,0.225134190248024,0.273227417788199,1,1,1.0,1,17.768,0.8,0.4,0.4,0.4,脖子最长。,0.8,0.4,0.4,0.4,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,42,0.8524300941457,0.82509329361869,0.81273701526244,0.84189416153877,0.5,0.5,0.5,0.5,0.8524300941457,0.81273701526244,0.82509329361869,0.84189416153877,4,2,1.0,0,17.277,0.75,0.75,0.75,0.75,四个部分差不多都一样长。,0.75,0.75,0.75,0.75,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,43,0.168456544500915,0.254774329563346,0.62989412105681,0.057926037432913,0.5,0.5,0.5,0.5,0.168456544500915,0.62989412105681,0.254774329563346,0.057926037432913,2,2,0.0,0,26.506,0.4,0.4,0.8,0.4,腿最长。,0.4,0.8,0.4,0.4,0,0,1,0,0,1,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,44,0.022965246603776,0.663872264274917,0.99229316196132,0.55148776108054,0.5,0.5,0.5,0.5,0.022965246603776,0.99229316196132,0.663872264274917,0.55148776108054,2,1,1.0,0,8.597,0.4,0.8,0.8,0.8,脖子最短。,0.4,0.8,0.8,0.8,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,45,0.441194073689263,0.242074677944691,0.014577761126961,0.113395958082929,0.5,0.5,0.5,0.5,0.441194073689263,0.014577761126961,0.242074677944691,0.113395958082929,1,2,0.0,0,16.498,0.8,0.4,0.4,0.4,脖子最长。,0.8,0.4,0.4,0.4,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,46,0.86306219053324,0.418107089063316,0.057502164308236,0.463030119532614,0.5,0.5,0.5,0.5,0.86306219053324,0.057502164308236,0.418107089063316,0.463030119532614,3,1,0.0,0,5.849,0.8,0.4,0.4,0.4,脖子最长。,0.8,0.4,0.4,0.4,1,0,0,0,1,0,0,0,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,47,0.421938420712974,0.95382974000686,0.254430622557426,0.580346843164237,0.5,0.5,0.5,0.5,0.421938420712974,0.254430622557426,0.95382974000686,0.580346843164237,1,1,1.0,0,13.89,0.5,0.75,0.5,0.75,头和尾巴比较长。,0.5,0.5,0.75,0.75,0,1,0,1,0,0,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,48,0.77408256190565,0.365182766334469,0.99112606540783,0.031932286996274,0.5,0.5,0.5,0.5,0.77408256190565,0.99112606540783,0.365182766334469,0.031932286996274,3,2,1.0,0,7.582,0.5,0.25,0.5,0.25,头和尾巴比较短。,0.5,0.5,0.25,0.25,0,1,0,1,0,0,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,49,0.77299682206479,0.275293368972624,0.692430712162058,0.543836663056733,0.5,0.5,0.5,0.5,0.77299682206479,0.692430712162058,0.275293368972624,0.543836663056733,3,2,1.0,0,2.981,0.5,0.25,0.5,0.25,头和尾巴最短。,0.5,0.5,0.25,0.25,0,1,0,1,0,0,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
7,1,1,1,1,50,0.560330903111818,0.747250980839195,0.289460223368377,0.683351854255411,0.5,0.5,0.5,0.5,0.560330903111818,0.289460223368377,0.747250980839195,0.683351854255411,4,1,0.0,0,2.351,0.5,0.75,0.5,0.75,头和尾巴都很长。,0.5,0.5,0.75,0.75,0,1,0,1,0,0,1,1,0.25,0.5,0.5,0.5,0.75,0.5,0.5,0.5
