iSub,condition,feature1_name,feature2_name,feature3_name,feature4_name,iSession,iRun,iTrial,feature1,feature2,feature3,feature4,category,choice,rating,feedback,ambiguous,choRT,text,A,b,n_constraints,matched_rules,un_pro
333,3,green,yellow,pink,blue,1,2,65,0.936584380146442,0.46694945019221,0.488552426117003,0.273065902091723,3,4,2,0.5,1,3.219,,,,,,
333,3,green,yellow,pink,blue,1,2,66,0.754717387302335,0.274862271755082,0.108992928450309,0.210785603192278,3,3,1,1.0,0,3.052,,,,,,
333,3,green,yellow,pink,blue,1,3,67,0.219957100956476,0.447704677137601,0.957666144786035,0.468181926500067,1,2,2,0.5,0,3.096,,,,,,
333,3,green,yellow,pink,blue,1,3,68,0.287562276828998,0.572195437914478,0.729621043377509,0.640487879832434,2,2,1,1.0,0,2.655,,,,,,
333,3,green,yellow,pink,blue,1,3,69,0.7015639893487,0.121598633825249,0.951896261827674,0.996194077289132,4,1,2,0.0,0,4.452,,,,,,
333,3,green,yellow,pink,blue,1,3,70,0.530021862915806,0.575529518292631,0.814773807512089,0.580541746599803,4,1,1,0.0,1,4.324,,,,,,
333,3,green,yellow,pink,blue,1,3,71,0.897899957742367,0.404230604051963,0.101199654870196,0.964436375604122,3,3,2,1.0,0,1.37,,,,,,
333,3,green,yellow,pink,blue,1,3,72,0.127056953890691,0.618305614105582,0.276763705265492,0.238285702056903,2,2,1,1.0,0,4.558,,,,,,
333,3,green,yellow,pink,blue,1,3,73,0.37787160659288,0.694622907018215,0.196708651954612,0.477664507703182,2,3,2,0.0,0,1.236,,,,,,
333,3,green,yellow,pink,blue,1,3,74,0.489044499319282,0.321712233194486,0.633163919069855,0.436839995930885,1,1,1,1.0,1,0.775,,,,,,
333,3,green,yellow,pink,blue,1,3,75,0.0798650258574817,0.545001492881026,0.442833538112252,0.383875684415037,2,2,1,1.0,1,3.664,,,,,,
333,3,green,yellow,pink,blue,1,3,76,0.611172612705356,0.168751439244483,0.0536676020384427,0.179227648693296,3,3,2,1.0,0,3.697,,,,,,
333,3,green,yellow,pink,blue,1,3,77,0.551476276252972,0.41123381713775,0.170605224264913,0.750391438203067,3,3,3,1.0,0,0.245,,,,,,
333,3,green,yellow,pink,blue,1,3,78,0.499841434094373,0.489464722196795,0.0359371711896007,0.253416912541172,1,3,3,0.0,1,0.499,,,,,,
333,3,green,yellow,pink,blue,1,3,79,0.914767507064846,0.684583197269554,0.899164229523606,0.922977061653135,4,1,1,0.0,0,1.606,,,,,,
333,3,green,yellow,pink,blue,1,3,80,0.841131563422315,0.148603486516948,0.762683151477588,0.310099186216144,4,1,1,0.0,0,4.537,,,,,,
333,3,green,yellow,pink,blue,1,3,81,0.383809910943029,0.971961747392607,0.951591098897774,0.584413339311815,2,2,1,1.0,0,3.728,,,,,,
333,3,green,yellow,pink,blue,1,3,82,0.955681690185346,0.500577151267434,0.586978826994628,0.112952048014391,4,4,3,1.0,1,0.878,,,,,,
333,3,green,yellow,pink,blue,1,3,83,0.842038084499628,0.932818165544831,0.361551365395791,0.508736154141371,3,3,2,1.0,0,1.433,,,,,,
333,3,green,yellow,pink,blue,1,3,84,0.88135040059712,0.4732584352661,0.698561630616361,0.85595066689521,4,3,1,0.5,1,3.427,,,,,,
333,3,green,yellow,pink,blue,1,3,85,0.469477769384897,0.937997655036378,0.881155494199879,0.741853689830892,2,2,2,1.0,1,0.454,,,,,,
333,3,green,yellow,pink,blue,1,3,86,0.595727527910202,0.999785923476787,0.105989207709199,0.169311238204767,3,3,2,1.0,0,5.496,,,,,,
333,3,green,yellow,pink,blue,1,3,87,0.672335851391435,0.131825708300722,0.409670818557396,0.511458285269348,3,4,2,0.5,0,1.144,,,,,,
333,3,green,yellow,pink,blue,1,3,88,0.633075963007514,0.755530926502715,0.189921142530413,0.988587942371461,3,3,4,1.0,0,0.38,,,,,,
333,3,green,yellow,pink,blue,1,3,89,0.0584011388033517,0.700360475427647,0.940783221335081,0.380867520174349,2,2,4,1.0,0,0.882,,,,,,
333,3,green,yellow,pink,blue,1,3,90,0.249337553732062,0.492849166645286,0.460865352687429,0.825729079657505,1,2,2,0.5,1,5.013,,,,,,
333,3,green,yellow,pink,blue,1,3,91,0.508444489010769,0.554451414163814,0.824349808539752,0.188160781810542,4,4,4,1.0,1,0.327,,,,,,
333,3,green,yellow,pink,blue,1,3,92,0.603165275117232,0.290318550426025,0.385799476108823,0.845108951835216,3,3,1,1.0,0,3.029,,,,,,
333,3,green,yellow,pink,blue,1,3,93,0.0333548619748134,0.278683557574123,0.618953458516499,0.872322340129482,1,2,3,0.5,0,2.951,,,,,,
333,3,green,yellow,pink,blue,1,3,94,0.317413360603382,0.420128596059343,0.500466249363283,0.327046879315903,1,1,3,1.0,1,1.634,,,,,,
333,3,green,yellow,pink,blue,1,3,95,0.534360414023599,0.891188582487199,0.417723862295388,0.735668165321065,3,3,2,1.0,1,0.177,,,,,,
