f1_length,f2_length,f3_length,f4_length,timestamp
1,0.49309410227208,0,0.95425190701032,1769670317091
1,0.30760354687826,0,0.95425190701032,1769670317108
1,0.00985272708145,0,0.95425190701032,1769670317125
1,0,0,0.95425190701032,1769670317141
1,0,0,0.95425190701032,1769670317158
1,0,0,0.95425190701032,1769670317174
1,0,0,0.95425190701032,1769670317191
1,0,0,0.95425190701032,1769670317208
1,0,0,0.95425190701032,1769670317224
1,0,0,0.95425190701032,1769670317241
1,0,0,0.95425190701032,1769670317258
1,0,0,0.95425190701032,1769670317274
1,0,0,0.95425190701032,1769670317291
1,0,0,0.94772135322143,1769670318827
1,0,0,0.92153221317748,1769670318841
1,0,0,0.87571894572742,1769670318858
1,0,0,0.80371766081494,1769670318874
1,0,0,0.50254255030956,1769670318891
1,0,0,0.29961057901835,1769670318908
1,0,0,0.11704867601822,1769670318924
1,0,0,0,1769670318941
1,0,0,0,1769670318958
1,0,0,0,1769670318974
1,0,0,0,1769670318991
1,0,0,0,1769670319008
1,0,0,0,1769670319024
1,0,0,0,1769670319041
1,0,0,0,1769670319058
1,0,0,0,1769670319074
0.98690542997803,0,0,0,1769670320625
0.98037446031792,0,0,0,1769670320641
0.93456037013875,0,0,0,1769670320658
0.90184129778887,0,0,0,1769670320674
0.82334800060396,0,0,0,1769670320691
0.78406429053805,0,0,0,1769670320708
0.66020534328172,0,0,0,1769670320724
0.4118688463025,0,0,0,1769670320741
0.06180241319369,0,0,0,1769670320757
0,0,0,0,1769670320774
0,0,0,0,1769670320791
0,0,0,0,1769670320807
0,0,0,0,1769670320824
0,0,0,0,1769670320841
0,0,0,0,1769670320858
0,0,0.01309457002197,0,1769670342919
0,0,0.03928371006592,0,1769670342927
0,0,0.05898020242635,0,1769670342940
0,0,0.14413979905454,0,1769670342956
0,0,0.24417053200038,0,1769670342973
0,0,0.57917704799425,0,1769670342990
0,0,1,0,1769670343006
0,0,1,0,1769670343023
0,0,1,0,1769670343040
0,0,1,0,1769670343056
0,0,1,0,1769670343073
0,0,1,0,1769670343090
0,0,1,0,1769670343106
0,0,1,0,1769670343123
0,0,1,0,1769670343140
0,0,1,0,1769670343156
0,0,1,0,1769670343173
0.01334196141265,0,1,0,1769670352104
0.01994992099835,0,1,0,1769670352111
0.03327842035465,0,1,0,1769670352123
0.08586127083944,0,1,0,1769670352139
0.15204117392581,0,1,0,1769670352156
0.27216204560052,0,1,0,1769670352173
0.41037587247854,0,1,0,1769670352189
0.56117910331565,0,1,0,1769670352206
0.70530192158248,0,1,0,1769670352222
0.86308186650412,0,1,0,1769670352239
0.96144013478532,0,1,0,1769670352256
1,0,1,0,1769670352273
1,0,1,0,1769670352289
1,0,1,0,1769670352306
1,0,1,0,1769670352323
1,0,1,0,1769670352339
1,0,1,0,1769670352356
1,0,1,0,1769670352373
1,0,1,0,1769670352389
1,0,1,0,1769670352406
1,0,1,0,1769670352423
1,0.00661034092335,1,0,1769670353901
1,0.02631179705984,1,0,1769670353939
1,0.04646190068466,1,0,1769670353956
